meterID,missing_date
311,2016-01-01
311,2016-01-02
311,2016-01-03
311,2016-01-04
311,2016-01-05
311,2016-01-06
311,2016-01-07
311,2016-01-08
311,2016-01-09
311,2016-01-10
311,2016-01-11
311,2016-01-12
311,2016-01-13
311,2016-01-14
311,2016-01-15
311,2016-01-16
311,2016-01-17
311,2016-01-18
311,2016-01-19
311,2016-01-20
311,2016-01-21
311,2016-01-22
311,2016-01-23
311,2016-01-24
311,2016-01-25
311,2016-01-26
311,2016-01-27
311,2016-01-28
311,2016-01-29
311,2016-01-30
311,2016-01-31
311,2016-02-01
311,2016-02-02
311,2016-02-03
311,2016-02-04
311,2016-02-05
311,2016-02-06
311,2016-02-07
311,2016-02-08
311,2016-02-09
311,2016-02-10
311,2016-02-11
311,2016-02-12
311,2016-02-13
311,2016-02-14
311,2016-02-15
311,2016-02-16
311,2016-02-17
311,2016-02-18
311,2016-02-19
311,2016-02-20
311,2016-02-21
311,2016-02-22
311,2016-02-23
311,2016-02-24
311,2016-02-25
311,2016-02-26
311,2016-02-27
311,2016-02-28
311,2016-02-29
311,2016-03-01
311,2016-03-02
311,2016-03-03
311,2016-03-04
311,2016-03-05
311,2016-03-06
311,2016-03-07
311,2016-03-08
311,2016-03-09
311,2016-03-10
311,2016-03-11
311,2016-03-12
311,2016-03-13
311,2016-03-14
311,2016-03-15
311,2016-03-16
311,2016-03-17
311,2016-03-18
311,2016-03-19
311,2016-03-20
311,2016-03-21
311,2016-03-22
311,2016-03-23
311,2016-03-24
311,2016-03-25
311,2016-03-26
311,2016-03-27
311,2016-03-28
311,2016-03-29
311,2016-03-30
311,2016-03-31
311,2016-04-01
311,2016-04-02
311,2016-04-03
311,2016-04-04
311,2016-04-05
311,2016-04-06
311,2016-04-07
311,2016-04-08
311,2016-04-09
311,2016-04-10
311,2016-04-11
311,2016-04-12
311,2016-04-13
311,2016-04-14
311,2016-04-15
311,2016-04-16
311,2016-04-17
311,2016-04-18
311,2016-04-19
311,2016-04-20
311,2016-04-21
311,2016-04-22
311,2016-04-23
311,2016-04-24
311,2016-04-25
311,2016-04-26
311,2016-04-27
311,2016-04-28
311,2017-01-01
311,2017-01-02
311,2017-01-03
311,2017-01-04
311,2017-01-05
311,2017-01-06
311,2017-01-07
311,2017-01-08
311,2017-01-09
311,2017-01-10
311,2017-01-11
311,2017-01-12
311,2017-01-13
311,2017-01-14
311,2017-01-15
311,2017-01-16
311,2017-01-17
311,2017-01-18
311,2017-01-19
311,2017-01-20
311,2017-01-21
311,2017-01-22
311,2017-01-23
311,2017-01-24
311,2017-01-25
311,2017-01-26
311,2017-01-27
311,2017-01-28
311,2017-01-29
311,2017-01-30
980,2016-01-01
980,2016-01-02
980,2016-01-03
980,2016-01-04
980,2016-01-05
980,2016-01-06
980,2016-01-07
980,2016-01-08
980,2016-01-09
980,2016-01-10
980,2016-01-11
